// <Skill id>,<Cast>,<Delay (optional)>
//
// Cast:  0 - everything affects the skill's cast time
//        1 - skill's cast time is not affected by dex
//        2 - skill's cast time is not affected by statuses (Suffragium, etc)
//        4 - skill's cast time is not affected by item bonuses (equip, cards)
//
// Delay: 0 - everything affects the skill's delay
//        1 - skill's delay is not affected by dex
//        2 - skill's delay is not affected by Magic Strings / Bragi
//        4 - skill's delay is not affected by item bonuses (equip, cards)
//
// Note: Values are bit fields, add them up to combine their effects.
// Note: Delay setting '1' only makes sense when delay_dependon_dex is enabled.
// Example: 46,1,1 = Double Strafe's cast time and delay is not affected by dex.

1,0,7	 	 //Basic Skill
2344,0,7	 //Gentle Touch - Quiet
2346,0,7	 //Gentle Touch - Energy Gain
2347,0,7	 //Gentle Touch - Change
2348,0,7	 //Gentle Touch - Revitalize
2350,0,7	 //Swing Dance
2351,0,7	 //Symphony of Lovers
2352,0,7	 //Moonlit Serenade
2381,0,7	 //Windmill Rush Attack
2382,0,7	 //Echo Song
2383,0,7	 //Harmonize
2412,0,7	 //Lesson
2413,0,7	 //Metallic Sound
2414,0,7	 //Reverberation
2415,0,7	 //Reverberation Melee
2416,0,7	 //Reverberation Magic
2417,0,7	 //Dominion Impulse
2418,0,7	 //Severe Rainstorm
2420,0,7	 //Voice of Siren
2421,0,7	 //Valley of Death
2422,0,7	 //Deep Sleep Lullaby
2423,0,7	 //Circle of Nature's Sound
2424,0,7	 //Improvised Song
2425,0,7	 //Gloomy Day
2426,0,7	 //Great Echo
2427,0,7	 //Song of Mana
2428,0,7	 //Dance With A Warg
2430,0,7	 //Saturday Night Fever
2431,0,7	 //Lerad's Dew
2432,0,7	 //Melody of Sink
2433,0,7	 //Warcry of Beyond
2434,0,7	 //Unlimited Humming Voice
2444,0,7	 //Electric Walk
2445,0,7	 //Spell Fist
2446,0,7	 //Earth Grave
2447,0,7	 //Diamond Dust
2448,0,7	 //Poison Buster
2449,0,7	 //Psychic Wave
2450,0,7	 //Cloud Kill
2452,0,7	 //Warmer
2453,0,7	 //Vacuum Extreme
2454,0,7	 //Varetyr Spear
2455,0,7	 //Arrullo
2456,0,7	 //Spirit Control
2457,0,7	 //Summon Fire Spirit Agni
2458,0,7	 //Summon Water Spirit Aqua
2459,0,7	 //Summon Wind Spirit Ventus
2460,0,7	 //Summon Earth Spirit Tera
2461,0,7	 //Elemental Action
2462,0,7	 //Four Spirit Analysis
2463,0,7	 //Spirit Sympathy
2464,0,7	 //Spirit Recovery
2467,0,7	 //Wind Insignia
2468,0,7	 //Earth Insignia
2474,0,7	 //Sword Training
2475,0,7	 //Cart Remodeling
2476,0,7	 //Cart Tornado
2477,0,7	 //Cart Cannon
2478,0,7	 //Cart Boost
2479,0,7	 //Thorn Trap
2482,0,7	 //Wall of Thorns
2483,0,7	 //Crazy Weed
2484,0,7	 //Crazy Weed Attack
2485,0,7	 //Demonic Fire
2487,0,7	 //Fire Expansion Smoke Powder
2488,0,7	 //Fire Expansion Tear Gas
2489,0,7	 //Fire Expansion Acid
2490,0,7	 //Hell's Plant
2491,0,7	 //Hell's Plant Attack
2492,0,7	 //Howling of Mandragora
2493,0,7	 //Sling Item
2494,0,7	 //Change Material
2495,0,7	 //Mix Cooking
2496,0,7	 //Create Bomb
2497,0,7	 //Special Pharmacy
2498,0,7	 //Sling Item Attack
2515,0,7	 //Secrament
2516,0,7	 //Severe Rainstorm Melee
2517,0,7	 //Howling of Lion
2518,0,7	 //Ride In Lightening
2534,0,7	 //Return To Eldicastes
2535,0,7	 //Open Buying Store
2536,0,7	 //Guardian's Recall
2537,0,7	 //Odin's Power
2552,0,7	 //Rich's Coin
2553,0,7	 //Mass Spiral
2554,0,7	 //Banishing Buster
2555,0,7	 //Bind Trap
2556,0,7	 //Flicker
2557,0,7	 //Shatter Storm
2558,0,7	 //Eternal Chain
2559,0,7	 //Quick Draw Shot
2560,0,7	 //Crimson Marker
2561,0,7	 //Fire Dance
2562,0,7	 //Howling Mine
2563,0,7	 //Platinum Alter
2564,0,7	 //Fallen Angel
2565,0,7	 //Round Trip
2566,0,7	 //Dragon Tail
2567,0,7	 //Fire Rain
2568,0,7	 //Heat Barrel
2569,0,7	 //Anti-Material Blast
2570,0,7	 //Slug Shot
2571,0,7	 //Hammer of God
2572,0,7	 //Round Trip Plus Attack
3001,0,7	 //Yamikumo
3002,0,7	 //Right Hand Mastery
3003,0,7	 //Left Hand Mastery
3004,0,7	 //Cross Strike
3005,0,7	 //Soul Sever
3006,0,7	 //Bakuretsu Kunai
3007,0,7	 //Happo Kunai
3008,0,7	 //Mucha Nage
3009,0,7	 //Huuma Shuriken Ranka 
3010,0,7	 //Makibishi
3011,0,7	 //Meikyo Shisui
3012,0,7	 //Zanzou
3013,0,7	 //Kyougaku
3014,0,7	 //Jyusatsu
3015,0,7	 //Kahu Enten
3016,0,7	 //Hyouhu Hubuki
3017,0,7	 //Kazehu Seiran
3018,0,7	 //Dohu Koukai	
3019,0,7	 //Technique Kaihou
3020,0,7	 //Zenkai
3021,0,7	 //Genwaku
3022,0,7	 //Izayoi
3023,0,7	 //Kagehumi
3024,0,7	 //Kyomu
3025,0,7	 //Kagemusha
3026,0,7	 //Zangetsu
3027,0,7	 //Oboro Gensou
3028,0,7	 //Hazy Moonlight Illusion Transition Attack
3029,0,7	 //Akaitsuki
3031,0,7	 //Snow Flip
3032,0,7	 //Peony Mamy
3033,0,7	 //Sadagui
3034,0,7	 //Sequoia Dust
3035,0,7	 //Return To Eclage
5001,0,7	 //Dark Claw
5002,0,7	 //Unlimited
5003,0,7	 //Illusion Doping
5004,0,7	 //Dragon Breath - Water
5005,0,7	 //Lux Anima
5006,0,7	 //Magma Eruption
5007,0,7	 //Frigg's Song
5008,0,7	 //Elemental Shield
5009,0,7	 //Flash Combo
5010,0,7	 //Emergency Escape
5011,0,7	 //Offertorium
5012,0,7	 //Intense Telekinesis
5013,0,7	 //King's Grace
5014,0,7	 //Full Throttle
5015,0,7	 //Flash Combo Attack Step 1
5016,0,7	 //Flash Combo Attack Step 2
5017,0,7	 //Flash Combo Attack Step 3
5018,0,7	 //Flash Combo Attack Step 4
8001,0,7	 //Healing Touch
8002,0,7	 //Avoid
8003,0,7	 //Brain Surgery
8004,0,7	 //Change
8005,0,7	 //Castling
8006,0,7	 //Defense
8007,0,7	 //Adamantium Skin
8008,0,7	 //Bloodlust
8009,0,7	 //Moonlight
8010,0,7	 //Fleeting Move
8011,0,7	 //Speed
8012,0,7	 //S.B.R.44
8013,0,7	 //Caprice
8014,0,7	 //Benediction of Chaos
8015,0,7	 //Instruct
8016,0,7	 //Bio Explosion
8018,0,7	 //Summon Legion
8019,0,7	 //Needle of Paralyze
8020,0,7	 //Poison Mist
8021,0,7	 //Pain Killer
8022,0,7	 //Light of Regene
8023,0,7	 //Overed Boost
8024,0,7	 //Eraser Cutter
8025,0,7	 //Xeno Slasher
8026,0,7	 //Silent Breeze
8027,0,7	 //Style Change
8028,0,7	 //Sonic Claw
8029,0,7	 //Silver Bain Rush
8030,0,7	 //Midnight Frenzy
8031,0,7	 //Steel Horn
8032,0,7	 //Golden Heel
8033,0,7	 //Stone Wall
8034,0,7	 //Holy Pole
8035,0,7	 //Attack Mode
8036,0,7	 //Tinder Breaker
8037,0,7	 //Continual Break Combo
8038,0,7	 //Eternal Quick Combo
8039,0,7	 //Magma Flow
8040,0,7	 //Granitic Armor
8041,0,7	 //Lava Slide
8042,0,7	 //Pyroclastic
8043,0,7	 //Volcanic Ash
8201,0,7	 //Bash
8202,0,7	 //Magnum_Break
8203,0,7	 //Bowling_Bash
8204,0,7	 //Parry
8205,0,7	 //Shield_Reflect
8206,0,7	 //Frenzy
8207,0,7	 //Double_Strafe
8208,0,7	 //Arrow_Shower
8209,0,7	 //Skid_Trap
8210,0,7	 //Land_Mine
8211,0,7	 //Sandman
8212,0,7	 //Freezing_Trap
8213,0,7	 //Remove_Trap
8214,0,7	 //Arrow_Repel
8215,0,7	 //Focused_Arrow_Strike
8216,0,7	 //Pierce
8217,0,7	 //Brandish_Spear
8218,0,7	 //Spiral_Pierce
8219,0,7	 //Defending_Aura
8220,0,7	 //Guard
8221,0,7	 //Sacrifice
8222,0,7	 //Magnificat
8223,0,7	 //Two-Hand_Quicken
8224,0,7	 //Sight
8225,0,7	 //Crash
8226,0,7	 //Regain
8227,0,7	 //Tender
8228,0,7	 //Benediction
8229,0,7	 //Recuperate
8230,0,7	 //Mental_Cure
8231,0,7	 //Compress
8232,0,7	 //Provoke
8233,0,7	 //Berserk
8234,0,7	 //Decrease_AGI
8235,0,7	 //Scapegoat
8236,0,7	 //Lex_Divina
8237,0,7	 //Sense
8238,0,7	 //Kyrie Eleison
8239,0,7	 //Blessing
8240,0,7	 //Increase Agility
8401,0,7	 //Circle of Fire
8402,0,7	 //Fire Cloak
8403,0,7	 //Fire Mantle
8404,0,7	 //Water Screen
8405,0,7	 //Water Drop
8406,0,7	 //Water Barrier
8407,0,7	 //Wind Step
8408,0,7	 //Wind Curtain
8409,0,7	 //Zephyr
8410,0,7	 //Solid Skin
8411,0,7	 //Stone Shield
8412,0,7	 //Power of Gaia
8413,0,7	 //Pyrotechnic
8414,0,7	 //Heater
8415,0,7	 //Tropic
8416,0,7	 //Aqua Play
8417,0,7	 //Cooler
8418,0,7	 //Cool Air
8419,0,7	 //Gust
8420,0,7	 //Blast
8421,0,7	 //Wild Storm
8422,0,7	 //Petrology
8423,0,7	 //Cursed Soil
8424,0,7	 //Upheaval
8425,0,7	 //Fire Arrow
8426,0,7	 //Fire Bomb
8427,0,7	 //Fire Bomb Attack
8428,0,7	 //Fire Wave
8429,0,7	 //Fire Wave Attack
8430,0,7	 //Ice Needle
8431,0,7	 //Water Screw
8432,0,7	 //Water Screw Attack
8433,0,7	 //Tidal Weapon
8434,0,7	 //Wind Slasher
8435,0,7	 //Hurricane Rage
8436,0,7	 //Hurricane Rage Attack
8437,0,7	 //Typhoon Missile
8438,0,7	 //Typhoon Missile Attack
8439,0,7	 //Stone Hammer
8440,0,7	 //Rock Launcher
8441,0,7	 //Rock Launcher Attack
8442,0,7	 //Stone Rain
10000,0,7	 //Official Guild Approval
10001,0,7	 //Kafra Contract
10002,0,7	 //Guardian Research
10003,0,7	 //Strengthen Guardians
10004,0,7	 //Guild Extension
10005,0,7	 //Guild's Glory
10006,0,7	 //Great Leadership
10007,0,7	 //Glorious Wounds
10008,0,7	 //Cold Heart
10009,0,7	 //Sharp Gaze
10010,0,7	 //Battle Orders
10011,0,7	 //Regeneration
10012,0,7	 //Restoration
10013,0,7	 //Urgent Call
10014,0,7	 //Permanent Development
270,0,7		 //Fury
401,0,7		 //Zen
